ignore,artist_gender,artist,title,year,songwriter_is_artist,id
,f,Britney Spears,...Baby One More Time,1998.0,,1
,f,Taylor Swift,...Ready For It?,2017.0,1,2
,f,Britney Spears,3,2009.0,,3
,m;f,Taylor Swift ft. Kendrick Lamar,Bad Blood,2015.0,1,4
,f,"Jessie J, Ariana Grande, & Nicki Minaj",Bang Bang,2014.0,1,5
,m;f,Justin Bieber ft. Nicki Minaj,Beauty And A Beat,2013.0,1,6
,f,Taylor Swift,Blank Space,2014.0,1,7
,m;f,Ariana Grande ft. Zedd,Break Free,2014.0,,8
,m;f,Katy Perry ft. Snoop Dogg,California Gurls,2010.0,1,9
,m,The Weeknd,Can't Feel My Face,2015.0,,10
,m,Justin Timberlake,Can't Stop The Feeling!,2016.0,1,11
,m;f,Katy Perry ft. Skip Marley,Chained To The Rhythm,2017.0,1,12
,m,Usher ft. Pitbull,DJ Got Us Fallin' In Love,2010.0,,13
,m;f,Katy Perry ft. Juicy J,Dark Horse,2014.0,1,14
,m,Taio Cruz,Dynamite,2010.0,1,15
,m;f,Katy Perry ft. Kanye West,E.T.,2011.0,1,16
,m,Backstreet Boys,Everybody [Backstreet's Back],1998.0,,17
,f,P!nk,Fuckin' Perfect,2011.0,1,18
,f,Britney Spears,Hold It Against Me,2011.0,,19
,f,Katy Perry,Hot N Cold,2008.0,1,20
,f,Katy Perry,I Kissed A Girl,2008.0,1,21
,f,Taylor Swift,I Knew You Were Trouble.,2012.0,1,22
,m,*NSYNC,It's Gonna Be Me,2000.0,,23
,f,Katy Perry,Last Friday Night,2011.0,1,24
,f,Ellie Goulding,Love Me Like You Do,2015.0,,25
,f,Kelly Clarkson,My Life Would Suck Without You,2009.0,,26
,m,Maroon 5,One More Night,2012.0,,27
,f,Katy Perry,Part Of Me,2012.0,1,28
,f,Ariana Grande ft. Iggy Azalea,Problem,2014.0,1,29
,m,Backstreet Boys,Quit Playing Games (With My Heart),1997.0,,30
,f,P!nk,Raise Your Glass,2010.0,1,31
,f,Katy Perry,Roar,2013.0,1,32
,f,Taylor Swift,Shake It Off,2014.0,1,33
,f,Ariana Grande ft. Nicki Minaj,Side To Side,2016.0,1,34
,f,Kelly Clarkson,Since U Been Gone,2005.0,,35
,f,P!nk,So What,2008.0,1,36
,f,Katy Perry,Teenage Dream,2010.0,1,37
,f,Katy Perry,The One That Got Away,2011.0,1,38
,f,Britney Spears ft. Nicki Minaj & Kesha,Till The World Ends,2011.0,1,39
,f,Taylor Swift,We Are Never Ever Getting Back Together,2012.0,1,40
,f,Katy Perry,Wide Awake,2012.0,1,41
,f,Taylor Swift,Wildest Dreams,2015.0,1,42
,m,Boyz II Men,4 Seasons Of Loneliness,1997.0,,43
,f,Janet Jackson,Again,1993.0,1,44
,f,Janet,All For You,2001.0,1,45
,f,Janet Jackson,Alright,1990.0,1,46
,f,Mariah Carey,Always Be My Baby,1996.0,1,47
,f,Janet Jackson,"Any Time, Any Place",1994.0,1,48
,f,Janet Jackson,Come Back To Me,1990.0,1,49
,f,Janet Jackson,Control,1987.0,1,50
,m,Herb Alpert,Diamonds,1987.0,,51
