ignore,artist_gender,artist,title,year,songwriter_is_artist,id
,f,Britney Spears,...Baby One More Time,1998,,1
,f,Taylor Swift,...Ready For It?,2017,1,2
,f,Britney Spears,3,2009,,3
,m;f,Taylor Swift ft. Kendrick Lamar,Bad Blood,2015,1,4
,f,"Jessie J, Ariana Grande, & Nicki Minaj",Bang Bang,2014,1,5
,m;f,Justin Bieber ft. Nicki Minaj,Beauty And A Beat,2013,1,6
,f,Taylor Swift,Blank Space,2014,1,7
,m;f,Ariana Grande ft. Zedd,Break Free,2014,,8
,m;f,Katy Perry ft. Snoop Dogg,California Gurls,2010,1,9
,m,The Weeknd,Can't Feel My Face,2015,,10
,m,Justin Timberlake,Can't Stop The Feeling!,2016,1,11
,m;f,Katy Perry ft. Skip Marley,Chained To The Rhythm,2017,1,12
,m,Usher ft. Pitbull,DJ Got Us Fallin' In Love,2010,,13
,m;f,Katy Perry ft. Juicy J,Dark Horse,2014,1,14
,m,Taio Cruz,Dynamite,2010,1,15
,m;f,Katy Perry ft. Kanye West,E.T.,2011,1,16
,m,Backstreet Boys,Everybody [Backstreet's Back],1998,,17
,f,P!nk,Fuckin' Perfect,2011,1,18
,f,Britney Spears,Hold It Against Me,2011,,19
,f,Katy Perry,Hot N Cold,2008,1,20
,f,Katy Perry,I Kissed A Girl,2008,1,21
,f,Taylor Swift,I Knew You Were Trouble.,2012,1,22
,m,*NSYNC,It's Gonna Be Me,2000,,23
,f,Katy Perry,Last Friday Night,2011,1,24
,f,Ellie Goulding,Love Me Like You Do,2015,,25
,f,Kelly Clarkson,My Life Would Suck Without You,2009,,26
,m,Maroon 5,One More Night,2012,,27
,f,Katy Perry,Part Of Me,2012,1,28
,f,Ariana Grande ft. Iggy Azalea,Problem,2014,1,29
,m,Backstreet Boys,Quit Playing Games (With My Heart),1997,,30
,f,P!nk,Raise Your Glass,2010,1,31
,f,Katy Perry,Roar,2013,1,32
,f,Taylor Swift,Shake It Off,2014,1,33
,f,Ariana Grande ft. Nicki Minaj,Side To Side,2016,1,34
,f,Kelly Clarkson,Since U Been Gone,2005,,35
,f,P!nk,So What,2008,1,36
,f,Katy Perry,Teenage Dream,2010,1,37
,f,Katy Perry,The One That Got Away,2011,1,38
,f,Britney Spears ft. Nicki Minaj & Ke$ha,Till The World Ends,2011,1,39
,f,Taylor Swift,We Are Never Ever Getting Back Together,2012,1,40
,f,Katy Perry,Wide Awake,2012,1,41
,f,Taylor Swift,Wildest Dreams,2015,1,42
,m,Maroon 5,Animals,2014,,45
,m;f,Maroon 5 ft. Christina Aguilera,Moves Like Jagger,2011,,52
,m,Maroon 5 ft. Wiz Khalifa,Payphone,2012,,54
,m;f,Zayn & Taylor Swift,I Don't Wanna Live Forever,2017,1,63
,f,Taylor Swift,Look What You Made Me Do,2017,1,65
,f,Taylor Swift,Love Story,2008,1,66
,f,Taylor Swift,Mine,2010,1,67
,f,Taylor Swift,Today Was A Fairytale,2010,1,69
,f,Taylor Swift,You Belong With Me,2009,1,72
,m,Bryan Adams,(Everything I Do) I Do It For You,1991,1,77
,m,"Bryan Adams, Rod Stewart, & Sting",All For Love,1993,1,78
,m;f,Heart,All I Wanna Do Is Make Love To You,1990,,79
,m,Bryan Adams,Can't Stop This Thing We Started,1991,1,80
,f,Shania Twain,From This Moment On,1998,1,81
,m,Billy Ocean,"Get Outta My Dreams, Get Into My Car",1988,1,82
,m,Bryan Adams,Have You Ever Really Loved A Woman?,1995,1,83
,m,Def Leppard,Love Bites,1988,,84
,m,Billy Ocean,Lover Boy,1985,1,85
,m,Def Leppard,Pour Some Sugar On Me,1988,,86
,m,Billy Ocean,"When The Going Gets Tough, The Tough Get Going",1986,1,87
,f,Shania Twain,You're Still The One,1998,1,88
,m,Bryan Adams,Heaven,1985,1,96
,m,Bryan Adams,Summer Of '69,1985,1,97
,m,Cutting Crew,(I Just) Died In Your Arms,1987,,98
,m;f,Sean Paul ft. Keyshia Cole,(When You Gonna) Give It Up To Me,2006,1,99
,m;f,Beyoncé ft. Sean Paul,Baby Boy,2003,1,100
,m;f,Sia ft. Sean Paul,Cheap Thrills,2016,1,101
,m,Sean Paul,Get Busy,2003,,102
,m,Sean Paul,Temperature,2006,,103
,f,Christina Aguilera,Come On Over Baby (All I Want Is You),2000,1,105
,m;f,Jay-Z ft. Beyonce Knowles,03 Bonnie & Clyde,2002,,110
,m;f,Beyoncé ft. Jay-Z,Crazy In Love,2003,1,112
,m;f,Beyoncé ft. Jay-Z,Deja Vu,2006,1,113
,m,Jay-Z,Dirt Off Your Shoulder,2004,,114
,m;f,Beyoncé ft. Jay-Z,Drunk In Love,2014,1,115
,m;f,Jay-Z & Alicia Keys,Empire State Of Mind,2009,1,116
,m,Pharrell ft. Jay-Z,Frontin',2003,,117
,f,Mariah Carey ft. Jay-Z,Heartbreaker,1999,1,118
,m,Jay-Z ft. Justin Timberlake,Holy Grail,2013,1,119
,f,Destiny's Child,Lose My Breath,2004,1,120
,m,Jay-Z Kanye West,Niggas in Paris,2012,,121
,m;f,"Jay-Z, Rihanna & Kanye West",Run This Town,2009,1,122
,m,Justin Timberlake ft. Jay-Z,Suit & Tie,2013,1,123
,m,Jay-Z & T.I. ft. Kanye West & Lil Wayne,Swagga Like Us,2008,,124
,m;f,Rihanna ft. Jay-Z,Umbrella,2007,,125
,m,Prince,Batdance,1989,,127
,m,Prince & the New Power Generation,Cream,1991,,128
,m,Prince & the New Power Generation,Diamonds And Pearls,1992,,129
,f,Chaka Khan,I Feel For You,1984,,130
,m,Prince & the Revolution,Kiss,1986,,131
,m,Prince & the Revolution,Let's Go Crazy,1984,,132
,f,Sinead O'Connor,Nothing Compares 2 U,1990,,133
,m,MC Hammer,Pray,1990,1,134
,m,Prince & the Revolution,Purple Rain,1984,,135
,m,Prince & the Revolution,Raspberry Beret,1985,,136
,m,Prince,Sign 'O' The Times,1987,,137
,m,Prince,The Most Beautiful Girl In The World,1994,,138
,m,Prince,U Got The Look,1987,,139
,m,Prince,When Doves Cry,1984,,140
,m,Drake,Find Your Love,2010,,142
,m;f,"Rihanna, Kanye West, & Paul McCartney",FourFiveSeconds,2015,1,143
,m,Kanye West ft. Jamie Foxx,Gold Digger,2005,,144
,m,Kanye West,Heartless,2008,,145
,m;f,Keri Hilson ft. Kanye West & Ne-Yo,Knock You Down,2009,1,146
,m,Kanye West,Love Lockdown,2008,,147
,m,Twista ft. Kanye West & Jamie Foxx,Slow Jamz,2004,,150
,m;f,Ludacris ft. Shawnna,Stand Up,2003,,151
,m,Kanye West,Stronger,2007,,152
,f,Alicia Keys,You Don't Know My Name,2003,1,154
,m,2Pac,California Love,1996,,156
,m;f,Gloria Estefan & Miami Sound Machine,1-2-3,1988,1,160
,m;f,Gloria Estefan & Miami Sound Machine,Anything For You,1988,1,161
,m;f,Gloria Estefan & Miami Sound Machine,Rhythm Is Gonna Get You,1987,1,162
,m;f,Logic ft. Alessia Cara & Khalid,1-800-273-8255,2017,1,164
,m;nb,The Chainsmokers ft. Halsey,Closer,2016,1,165
