ignore,artist_gender,artist,title,year,songwriter_is_artist,id
,f,Britney Spears,...Baby One More Time,1998,,1
,f,Taylor Swift,...Ready For It?,2017,1,2
,f,Britney Spears,3,2009,,3
,m;f,Taylor Swift ft. Kendrick Lamar,Bad Blood,2015,1,4
,f,"Jessie J, Ariana Grande, & Nicki Minaj",Bang Bang,2014,1,5
,m;f,Justin Bieber ft. Nicki Minaj,Beauty And A Beat,2013,1,6
,f,Taylor Swift,Blank Space,2014,1,7
,m;f,Ariana Grande ft. Zedd,Break Free,2014,,8
,m;f,Katy Perry ft. Snoop Dogg,California Gurls,2010,1,9
,m,The Weeknd,Can't Feel My Face,2015,,10
,m,Justin Timberlake,Can't Stop The Feeling!,2016,1,11
,m;f,Katy Perry ft. Skip Marley,Chained To The Rhythm,2017,1,12
,m,Usher ft. Pitbull,DJ Got Us Fallin' In Love,2010,,13
,m;f,Katy Perry ft. Juicy J,Dark Horse,2014,1,14
,m,Taio Cruz,Dynamite,2010,1,15
,m;f,Katy Perry ft. Kanye West,E.T.,2011,1,16
,m,Backstreet Boys,Everybody [Backstreet's Back],1998,,17
,f,P!nk,Fuckin' Perfect,2011,1,18
,f,Britney Spears,Hold It Against Me,2011,,19
,f,Katy Perry,Hot N Cold,2008,1,20
,f,Katy Perry,I Kissed A Girl,2008,1,21
,f,Taylor Swift,I Knew You Were Trouble.,2012,1,22
,m,*NSYNC,It's Gonna Be Me,2000,,23
,f,Katy Perry,Last Friday Night,2011,1,24
,f,Ellie Goulding,Love Me Like You Do,2015,,25
,f,Kelly Clarkson,My Life Would Suck Without You,2009,,26
,m,Maroon 5,One More Night,2012,,27
,f,Katy Perry,Part Of Me,2012,1,28
,f,Ariana Grande ft. Iggy Azalea,Problem,2014,1,29
,m,Backstreet Boys,Quit Playing Games (With My Heart),1997,,30
,f,P!nk,Raise Your Glass,2010,1,31
,f,Katy Perry,Roar,2013,1,32
,f,Taylor Swift,Shake It Off,2014,1,33
,f,Ariana Grande ft. Nicki Minaj,Side To Side,2016,1,34
,f,Kelly Clarkson,Since U Been Gone,2005,,35
,f,P!nk,So What,2008,1,36
,f,Katy Perry,Teenage Dream,2010,1,37
,f,Katy Perry,The One That Got Away,2011,1,38
,f,Britney Spears ft. Nicki Minaj & Kesha,Till The World Ends,2011,1,39
,f,Taylor Swift,We Are Never Ever Getting Back Together,2012,1,40
,f,Katy Perry,Wide Awake,2012,1,41
,f,Taylor Swift,Wildest Dreams,2015,1,42
,m,Boyz II Men,4 Seasons Of Loneliness,1997,,43
,f,Janet Jackson,Again,1993,1,44
,f,Janet,All For You,2001,1,45
,f,Janet Jackson,Alright,1990,1,46
,f,Mariah Carey,Always Be My Baby,1996,1,47
,f,Janet Jackson,"Any Time, Any Place",1994,1,48
,f,Janet Jackson,Come Back To Me,1990,1,49
,f,Janet Jackson,Control,1987,1,50
,m,Herb Alpert,Diamonds,1987,,51
,f,Janet,Doesn't Really Matter,2000,1,52
,f,Janet Jackson,Escapade,1990,1,53
,m;f,The Human League,Human,1986,,54
,m,Robert Palmer,I Didn't Mean To Turn You On,1986,,55
,m;f,Janet Jackson ft. BLACKstreet,I Get Lonely,1998,1,56
,f,Janet Jackson,If,1993,1,57
,f,Janet Jackson,Let's Wait Awhile,1987,1,58
,f,Janet Jackson,Love Will Never Do (Without You),1991,,59
,f,Janet Jackson,Miss You Much,1989,,60
,f,Janet Jackson,Nasty,1986,1,61
,m,Boyz II Men,On Bended Knee,1994,,62
,f,Janet Jackson,Rhythm Nation,1989,1,63
,f,Karyn White,Romantic,1991,1,64
,m,Johnny Gill,Rub You The Right Way,1990,,65
,f,Janet Jackson,Runaway,1995,1,66
,m;f,Michael Jackson & Janet Jackson,Scream,1995,1,67
,m,Ralph Tresvant,Sensitivity,1991,,68
,f,Janet,Someone To Call My Lover,2001,1,69
,m;f,Mariah Carey ft. Joe & 98 Degrees,Thank God I Found You,2000,1,70
,f,Janet Jackson,That's The Way Love Goes,1993,1,71
,f,Janet,Together Again,1997,1,72
,f,Janet Jackson,What Have You Done For Me Lately,1986,1,73
,f,Janet Jackson,When I Think Of You,1986,1,74
,f,Britney Spears,Circus,2008,,108
,f,Kesha,Die Young,2012,1,110
,f,Avril Lavigne,Girlfriend,2007,1,113
,m,Flo Rida,Good Feeling,2011,,114
,nb,Miley Cyrus,Party In The U.S.A.,2009,,121
,m,Flo Rida,Right Round,2009,,122
,m,Maroon 5,Sugar,2015,,125
,f,Kesha,Tik Tok,2009,1,128
,m;f,Pitbull ft. Kesha,Timber,2013,1,130
,f,Kesha,We R Who We R,2010,1,131
,f,Rihanna,Where Have You Been,2012,,132
,nb,Miley Cyrus,Wrecking Ball,2013,,134
,f,Toni Braxton,Breathe Again,1994,,135
,f,TLC,Diggin' On You,1995,,136
,m,Boyz II Men,End Of The Road,1992,,137
,m,Bobby Brown,Every Little Step,1989,,138
,f,Whitney Houston,Exhale,1995,,139
,f,Pebbles,Girlfriend,1988,,140
,f,Pebbles,Giving You The Benefit,1990,,141
,m,Bobby Brown,Humpin' Around,1992,1,142
,m,R. Kelly,I Can't Sleep Baby (If I),1996,,143
,m,Boyz II Men,I'll Make Love To You,1994,,144
,f,Whitney Houston,I'm Your Baby Tonight,1990,,145
,f,P!nk,Most Girls,2000,,146
,f,Mary J. Blige,Not Gon' Cry,1996,,147
,m,Bobby Brown,On Our Own,1989,,148
,f,TLC,Red Light Special,1995,,149
,m,Bobby Brown,Roni,1989,,150
,f,Brandy,Sittin' Up In My Room,1996,,151
,f,Madonna,Take A Bow,1995,1,152
,f,Sheena Easton,The Lover In Me,1989,,153
,m,Boyz II Men,Water Runs Dry,1995,,154
,f,Mariah Carey,We Belong Together,2005,1,155
,m,Babyface,When Can I See You,1994,,156
,f,Mariah Carey,Without You,1994,1,157
,f,Toni Braxton,You're Makin' Me High/Let It Flow,1996,,158
,f,Mariah Carey,Can't Let Go,1992,1,160
,f,Mariah Carey,Don't Forget About Us,2005,1,161
,f,Mariah Carey,Dreamlover,1993,1,162
,f,Mariah Carey,Emotions,1991,1,163
,f,Mariah Carey,Fantasy,1995,1,164
,f,Mariah Carey ft. Jay-Z,Heartbreaker,1999,1,165
,f,Mariah Carey,Hero,1993,1,166
,f,Mariah Carey,Honey,1997,1,167
,f,Mariah Carey,I Don't Wanna Cry,1991,1,168
,f,Mariah Carey,Love Takes Time,1990,1,169
,m;f,Mariah Carey ft. Cameo,Loverboy,2001,1,170
,f,Mariah Carey,Make It Happen,1992,1,171
,f,Mariah Carey,My All,1998,1,172
,m;f,Mariah Carey & Boyz II Men,One Sweet Day,1995,1,173
,f,Mariah Carey,Shake It Off,2005,1,174
,f,Mariah Carey,Someday,1991,1,175
,f,Mariah Carey,Touch My Body,2008,1,177
,f,Mariah Carey,Vision Of Love,1990,1,178
,f,Janet Jackson,Black Cat,1990,1,185
,m;f,Beyoncé ft. Sean Paul,Baby Boy,2003,1,202
,f,Beyoncé & Shakira,Beautiful Liar,2007,1,203
