ignore,writer,id,gender
,Max Martin,1,m
,Max Martin,2,m
,Max Martin,3,m
,Max Martin,4,m
,Max Martin,5,m
,Max Martin,6,m
,Max Martin,7,m
,Max Martin,8,m
,Max Martin,9,m
,Max Martin,10,m
,Max Martin,11,m
,Max Martin,12,m
,Max Martin,13,m
,Max Martin,14,m
,Max Martin,15,m
,Max Martin,16,m
,Max Martin,17,m
,Max Martin,18,m
,Max Martin,19,m
,Max Martin,20,m
,Max Martin,21,m
,Max Martin,22,m
,Max Martin,23,m
,Max Martin,24,m
,Max Martin,25,m
,Max Martin,26,m
,Max Martin,27,m
,Max Martin,28,m
,Max Martin,29,m
,Max Martin,30,m
,Max Martin,31,m
,Max Martin,32,m
,Max Martin,33,m
,Max Martin,34,m
,Max Martin,35,m
,Max Martin,36,m
,Max Martin,37,m
,Max Martin,38,m
,Max Martin,39,m
,Max Martin,40,m
,Max Martin,41,m
,Max Martin,42,m
,Shellback,2,m
,Shellback,3,m
,Shellback,45,m
,Shellback,4,m
,Shellback,7,m
,Shellback,11,m
,Shellback,13,m
,Shellback,18,m
,Shellback,22,m
,Shellback,52,m
,Shellback,27,m
,Shellback,54,m
,Shellback,31,m
,Shellback,33,m
,Shellback,36,m
,Shellback,40,m
,Shellback,42,m
,Taylor Swift,2,f
,Taylor Swift,4,f
,Taylor Swift,7,f
,Taylor Swift,63,f
,Taylor Swift,22,f
,Taylor Swift,65,f
,Taylor Swift,66,f
,Taylor Swift,67,f
,Taylor Swift,33,f
,Taylor Swift,69,f
,Taylor Swift,40,f
,Taylor Swift,42,f
,Taylor Swift,72,f
,Ali Payami,2,m
,Ali Payami,10,m
,Ali Payami,12,m
,Ali Payami,25,m
,Mutt Lange,77,m
,Mutt Lange,78,m
,Mutt Lange,79,m
,Mutt Lange,80,m
,Mutt Lange,81,m
,Mutt Lange,82,m
,Mutt Lange,83,m
,Mutt Lange,84,m
,Mutt Lange,85,m
,Mutt Lange,86,m
,Mutt Lange,87,m
,Mutt Lange,88,m
,Michael Kamen,77,m
,Michael Kamen,78,m
,Michael Kamen,83,m
,Bryan Adams,77,m
,Bryan Adams,78,m
,Bryan Adams,80,m
,Bryan Adams,83,m
,Bryan Adams,96,m
,Bryan Adams,97,m
,Nick Van Eede,98,m
,Sean Paul,99,m
,Sean Paul,100,m
,Sean Paul,101,m
,Sean Paul,102,m
,Sean Paul,103,m
,Ron Fair,99,m
,Ron Fair,105,m
,Donovan Bennett,99,m
,Jigzagula,99,m
,Keyshia Cole,99,f
,Nigel Staff,99,m
,Jay-Z,110,m
,Jay-Z,100,m
,Jay-Z,112,m
,Jay-Z,113,m
,Jay-Z,114,m
,Jay-Z,115,m
,Jay-Z,116,m
,Jay-Z,117,m
,Jay-Z,118,m
,Jay-Z,119,m
,Jay-Z,120,m
,Jay-Z,121,m
,Jay-Z,122,m
,Jay-Z,123,m
,Jay-Z,124,m
,Jay-Z,125,m
,Prince,110,m
,Prince,127,m
,Prince,128,m
,Prince,129,m
,Prince,130,m
,Prince,131,m
,Prince,132,m
,Prince,133,m
,Prince,134,m
,Prince,135,m
,Prince,136,m
,Prince,137,m
,Prince,138,m
,Prince,139,m
,Prince,140,m
,Kanye West,110,m
,Kanye West,142,m
,Kanye West,143,m
,Kanye West,144,m
,Kanye West,145,m
,Kanye West,146,m
,Kanye West,147,m
,Kanye West,121,m
,Kanye West,122,m
,Kanye West,150,m
,Kanye West,151,m
,Kanye West,152,m
,Kanye West,124,m
,Kanye West,154,m
,Tupac Shakur,110,m
,Tupac Shakur,156,m
,Darryl Harper,110,m
,Ricky Rouse,110,m
,Hurt-M-Badd,110,m
,Gloria Estefan,160,f
,Gloria Estefan,161,f
,Gloria Estefan,162,f
,Enrique Garcia,160,m
,Drew Taggart,164,m
,Drew Taggart,165,m
,Drew Taggart,166,m
,Drew Taggart,167,m
,Alessia Cara,164,f
,Alessia Cara,169,f
,6ix,164,m
,Khalid,164,m
,Logic,164,m
,Missy Elliot,173,f
,Missy Elliot,174,f
,Missy Elliot,175,f
,Missy Elliot,176,f
,Missy Elliot,177,f
,Missy Elliot,178,f
,T.I.,173,m
,T.I.,180,m
