ignore,writer,id,gender
,T.I.,181,m
,T.I.,182,m
,T.I.,183,m
,T.I.,175,m
,T.I.,185,m
,T.I.,186,m
,T.I.,187,m
,T.I.,124,m
,T.I.,189,m
,T.I.,190,m
,Jazze Pha,173,m
,Allyson Khent,192,pf
,Luther Dixon,192,m
,The Snake,194,m
,Rachel Bolan,194,m
,"Richard ""Biff"" Stannard",196,m
,"Richard ""Biff"" Stannard",197,m
,Matt Rowe,196,m
,MC Hammer,199,m
,MC Hammer,200,m
,MC Hammer,134,m
,Felton Pilate,199,m
,James Earley,199,m
,Louis K. Burrell,199,m
,Michael Kelly,199,m
,50 Cent,206,m
,50 Cent,207,m
,50 Cent,208,m
,50 Cent,209,m
,50 Cent,210,m
,50 Cent,211,m
,50 Cent,212,m
,50 Cent,213,m
,50 Cent,214,m
,50 Cent,215,m
,50 Cent,216,m
,50 Cent,217,m
,Jasper Cameron,206,m
,Jasper Cameron,219,m
,Dirty Swift,206,m
,Vella Cameron,206,f
,Bruno Mars,222,m
,Bruno Mars,223,m
,Bruno Mars,224,m
,Bruno Mars,225,m
,Bruno Mars,226,m
,Bruno Mars,227,m
,Bruno Mars,228,m
,Bruno Mars,229,m
,Bruno Mars,230,m
,Bruno Mars,231,m
,Bruno Mars,232,m
,Bruno Mars,233,m
,Bruno Mars,234,m
,Bruno Mars,235,m
,Bruno Mars,236,m
,Bruno Mars,237,m
,Philip Lawrence,222,m
,Philip Lawrence,223,m
,Philip Lawrence,224,m
,Philip Lawrence,225,m
,Philip Lawrence,226,m
,Philip Lawrence,227,m
,Philip Lawrence,228,m
,Philip Lawrence,229,m
,Philip Lawrence,230,m
,Philip Lawrence,231,m
,Philip Lawrence,232,m
,Philip Lawrence,233,m
,Philip Lawrence,234,m
,Philip Lawrence,235,m
,Philip Lawrence,236,m
,Philip Lawrence,237,m
,Brody Brown,222,m
,Brody Brown,224,m
,Brody Brown,225,m
,Brody Brown,226,m
,Brody Brown,233,m
,James Pankow,259,m
,Robert Lamm,259,m
,Jimmy Cauty,261,m
,Ricardo Lyte,261,m
,Bill Drummond,261,m
,Sophia Somajo,3,f
,Madonna,265,f
,Madonna,266,f
,Madonna,267,f
,Madonna,268,f
,Madonna,269,f
,Madonna,270,f
,Madonna,271,f
,Madonna,272,f
,Madonna,273,f
,Madonna,274,f
,Madonna,275,f
,Madonna,276,f
,Madonna,277,f
,Madonna,278,f
,Madonna,279,f
,Madonna,280,f
,Madonna,281,f
,Madonna,282,f
,Madonna,283,f
,Madonna,284,f
,Timbaland,265,m
,Timbaland,286,m
,Timbaland,207,m
,Timbaland,219,m
,Timbaland,289,m
,Timbaland,114,m
,Timbaland,115,m
,Timbaland,292,m
,Timbaland,119,m
,Timbaland,294,m
,Timbaland,185,m
,Timbaland,296,m
,Timbaland,297,m
,Timbaland,298,m
,Timbaland,123,m
,Timbaland,300,m
,Timbaland,301,m
,Timbaland,302,m
,Timbaland,178,m
,Danja,265,m
,Danja,207,m
,Danja,306,m
,Danja,292,m
,Danja,146,m
,Danja,185,m
,Danja,296,m
,Danja,297,m
,Danja,298,m
,Danja,300,m
,Danja,302,m
,Justin Timberlake,265,m
,Justin Timberlake,207,m
,Justin Timberlake,11,m
,Justin Timberlake,289,m
,Justin Timberlake,180,m
,Justin Timberlake,320,m
,Justin Timberlake,292,m
,Justin Timberlake,119,m
,Justin Timberlake,294,m
,Justin Timberlake,185,m
,Justin Timberlake,325,m
,Justin Timberlake,298,m
,Justin Timberlake,123,m
,Justin Timberlake,302,m
,Jimmy Jam,329,m
,Jimmy Jam,330,m
,Jimmy Jam,331,m
,Jimmy Jam,332,m
,Jimmy Jam,333,m
,Jimmy Jam,334,m
,Jimmy Jam,335,m
,Jimmy Jam,336,m
,Jimmy Jam,337,m
,Jimmy Jam,338,m
,Jimmy Jam,339,m
,Jimmy Jam,340,m
,Jimmy Jam,341,m
,Jimmy Jam,342,m
,Jimmy Jam,343,m
,Jimmy Jam,344,m
,Jimmy Jam,345,m
,Jimmy Jam,346,m
,Jimmy Jam,347,m
,Jimmy Jam,348,m
,Jimmy Jam,349,m
,Jimmy Jam,350,m
,Jimmy Jam,351,m
,Jimmy Jam,352,m
,Jimmy Jam,353,m
,Jimmy Jam,354,m
,Jimmy Jam,355,m
,Jimmy Jam,356,m
,Jimmy Jam,357,m
,Jimmy Jam,358,m
,Jimmy Jam,359,m
,Jimmy Jam,360,m
,Terry Lewis,329,m
,Terry Lewis,330,m
,Terry Lewis,331,m
,Terry Lewis,332,m
,Terry Lewis,333,m
,Terry Lewis,334,m
,Terry Lewis,335,m
,Terry Lewis,336,m
,Terry Lewis,337,m
,Terry Lewis,338,m
,Terry Lewis,339,m
,Terry Lewis,340,m
,Terry Lewis,341,m
,Terry Lewis,342,m
,Terry Lewis,343,m
,Terry Lewis,344,m
,Terry Lewis,345,m
,Terry Lewis,346,m
,Terry Lewis,347,m
,Terry Lewis,348,m
,Terry Lewis,349,m
,Terry Lewis,350,m
,Terry Lewis,351,m
,Terry Lewis,352,m
,Terry Lewis,353,m
,Terry Lewis,354,m
,Terry Lewis,355,m
,Terry Lewis,356,m
,Terry Lewis,357,m
,Terry Lewis,358,m
,Terry Lewis,359,m
,Terry Lewis,360,m
,Fetty Wap,393,m
,Fetty Wap,394,m
,Monty,393,m
,"Brian ""Peoples"" Garcis",393,m
,Justin Pope,393,m
,Lukas Forchhammer,398,m
,Pilo,398,m
,Rissi,398,m
,Stefan Forrest,398,m
,Carlo Karges,402,m
,Uwe Fahrenkrog-Petersen,402,m
,Phil Medley,404,m
,Jörgen Elofsson,405,m
,Jörgen Elofsson,406,m
,John Reid,405,m
,Doc Pomus,408,m
,Doc Pomus,409,m
,Doc Pomus,410,m
,Mort Schuman,408,m
,Mort Schuman,409,m
,Mort Schuman,410,m
,Vanessa Carlton,414,f
,Eugene Pearson,415,m
,John Barry,416,m
,John Barry,417,m
,"Ray Parker, Jr.",418,m
,"Ray Parker, Jr.",419,m
,Don Von Tress,420,m
,Robert Palmer,421,m
,Robert Palmer,422,m
,Robert Palmer,423,m
,Pierre Marchand,424,m
,Pierre Marchand,425,m
,Pierre Marchand,424,f
,Pierre Marchand,425,f
,Janet Jackson,330,f
,Janet Jackson,331,f
,Janet Jackson,332,f
,Janet Jackson,334,f
,Janet Jackson,432,f
,Janet Jackson,335,f
,Janet Jackson,336,f
,Janet Jackson,338,f
,Janet Jackson,339,f
,Janet Jackson,342,f
,Janet Jackson,343,f
,Janet Jackson,344,f
,Janet Jackson,347,f
,Janet Jackson,349,f
,Janet Jackson,352,f
,Janet Jackson,353,f
,Janet Jackson,355,f
,Janet Jackson,357,f
,Janet Jackson,358,f
,Janet Jackson,359,f
,Janet Jackson,360,f
,Lenny Kravitz,449,m
,Lenny Kravitz,450,m
,Lenny Kravitz,273,m
,Nelly,452,m
,Nelly,453,m
,Nelly,182,m
,Nelly,455,m
,Nelly,456,m
,Nelly,457,m
,Nelly,458,m
,Nelly,459,m
,Nelly,460,m
,Nelly,461,m
,Ali,452,m
,Ali,182,m
,Murphy Lee,452,m
,Murphy Lee,460,m
,Kyjuan,452,m
,Alex Da Kid,467,m
,Alex Da Kid,468,m
,Alex Da Kid,469,m
,Alex Da Kid,470,m
,Alex Da Kid,471,m
,DJ Frank E,467,m
,DJ Frank E,232,m
,DJ Frank E,474,m
,DJ Frank E,475,m
,DJ Frank E,476,m
,B.o.B.,467,m
,B.o.B.,231,m
,"Jeremy ""Kinetics"" Dussolliet",467,m
,"Tim ""One Love"" Sommers",467,m
,Lady Gaga,481,f
,Lady Gaga,482,f
,Lady Gaga,483,f
,Lady Gaga,484,f
,Lady Gaga,485,f
,Lady Gaga,486,f
,Lady Gaga,487,f
,Lady Gaga,488,f
,Lady Gaga,489,f
,Lady Gaga,490,f
,RedOne,481,m
,RedOne,483,m
,RedOne,493,m
,RedOne,494,m
,RedOne,485,m
,RedOne,486,m
,RedOne,497,m
,RedOne,488,m
,RedOne,499,m
,Meghan Trainor,500,f
,Meghan Trainor,501,f
,Meghan Trainor,502,f
,Kevin Kadish,500,m
,Kevin Kadish,501,m
,Andy Morris,505,m
,Andy Morris,506,m
,Ian Devaney,505,m
,Ian Devaney,506,m
,Lisa Stansfield,505,f
,Lisa Stansfield,506,f
,Eric Carmen,511,m
,Sergei Rachmaninoff,511,m
,Full Force,513,m
,Full Force,514,m
,Full Force,515,m
,Full Force,516,m
,Full Force,517,m
,Full Force,518,m
,David Romani,331,m
,Mauro Malavasi,331,m
,Wayne Garfield,331,m
,Makeba Riddick,522,f
,Makeba Riddick,113,f
,Makeba Riddick,183,f
,Makeba Riddick,525,f
,Curtis Richardson,522,m
,Lisa Peters,522,f
,Ron G,522,m
,William Jeffrey,522,m
,Glen Ballard,530,m
,Glen Ballard,531,m
,Glen Ballard,532,m
,Glen Ballard,533,m
,Glen Ballard,534,m
,Clif Magness,530,m
,Clif Magness,536,m
,David Pack,530,m
,Bill Bottrell,538,m
,Bill Bottrell,539,m
,Bill Bottrell,540,m
,David Baerwald,538,m
,David Baerwald,540,m
,Kevin Gilbert,538,m
,Kevin Gilbert,540,m
,Sheryl Crow,538,f
,Sheryl Crow,540,f
,Wyn Cooper,538,m
,JoJo,548,m
,JoJo,549,m
,Rory Bennett,548,m
,Rory Bennett,549,m
,K-Ci,548,m
,Lionel Richie,553,m
,Lionel Richie,554,m
,Lionel Richie,555,m
,Lionel Richie,494,m
,Lionel Richie,557,m
,Lionel Richie,558,m
,Lionel Richie,559,m
,Lionel Richie,560,m
,Lionel Richie,561,m
,Toby Gad,562,m
,Toby Gad,563,m
,Toby Gad,564,m
,John Legend,562,m
,Frank Farian,566,m
,Frank Farian,567,m
,Frank Farian,568,m
,Brad Howell,566,m
,David Clayton-Thomas,566,m
,P. G. Wilder,566,-
,Wayne Hector,572,m
,Wayne Hector,573,m
,Wayne Hector,574,m
,Wayne Hector,575,m
,Wayne Hector,499,m
,Steve Mac,572,m
,Steve Mac,574,m
,Steve Mac,575,m
,Steve Mac,580,m
,Greg Camp,581,m
,Joker,582,m
,Joker,583,m
,Buddha,582,m
,Jenny Berggren,582,f
,Linn Berggren,582,f
,Dean Pitchford,587,m
,Dean Pitchford,588,m
,Dean Pitchford,589,m
,Michael Gore,587,m
,Jules Shear,591,m
,Dallas Frazier,592,m
,Billy Steinberg,593,m
,Billy Steinberg,594,m
,Billy Steinberg,595,m
,Billy Steinberg,596,m
,Billy Steinberg,597,m
,Billy Steinberg,598,m
,Billy Steinberg,599,m
,Tom Kelly,593,m
,Tom Kelly,594,m
,Tom Kelly,595,m
,Tom Kelly,596,m
,Tom Kelly,599,m
,Jermaine Dupri,333,m
,Jermaine Dupri,606,m
,Jermaine Dupri,607,m
,Jermaine Dupri,608,m
,Jermaine Dupri,609,m
,Jermaine Dupri,182,m
,Jermaine Dupri,611,m
,Jermaine Dupri,612,m
,Jermaine Dupri,613,m
,Jermaine Dupri,614,m
,Jermaine Dupri,615,m
,Jermaine Dupri,616,m
,Jermaine Dupri,617,m
,Jermaine Dupri,618,m
,Jermaine Dupri,619,m
,Jermaine Dupri,620,m
,Jermaine Dupri,621,m
,Jermaine Dupri,461,m
,Jermaine Dupri,623,m
,Mariah Carey,333,f
,Mariah Carey,625,f
,Mariah Carey,609,f
,Mariah Carey,627,f
,Mariah Carey,628,f
,Mariah Carey,629,f
,Mariah Carey,118,f
,Mariah Carey,631,f
,Mariah Carey,632,f
,Mariah Carey,633,f
,Mariah Carey,634,f
,Mariah Carey,635,f
,Mariah Carey,636,f
,Mariah Carey,637,f
,Mariah Carey,638,f
,Mariah Carey,618,f
,Mariah Carey,640,f
,Mariah Carey,356,f
,Mariah Carey,642,f
,Mariah Carey,643,f
,Mariah Carey,621,f
,Mariah Carey,645,f
,Manuel Seal,333,m
,Manuel Seal,612,m
,Manuel Seal,615,m
,Manuel Seal,616,m
,Manuel Seal,617,m
,Manuel Seal,621,m
,Manuel Seal,623,m
,Wayne Lewis,653,m
,Wayne Lewis,654,m
,Jonathan Lewis,653,m
,Jon Bon Jovi,656,m
,Jon Bon Jovi,657,m
,Jon Bon Jovi,658,m
,Jon Bon Jovi,659,m
,Jon Bon Jovi,660,m
,Jon Bon Jovi,661,m
,Jon Bon Jovi,662,m
,Johnny Christopher,663,m
,Johnny Christopher,664,m
,Questlove,663,m
,Mark James,663,m
,Nico Sereba,667,m
,Vinz Dery,667,m
,Tom Scholz,669,m
,Aimee Mayo,670,f
,Chris Lindsey,670,m
,Marv Green,670,m
,Sir Mix-A-Lot,673,m
,Sir Mix-A-Lot,674,m
,Nicki Minaj,673,f
,Nicki Minaj,5,f
,Nicki Minaj,6,f
,Nicki Minaj,219,f
,Nicki Minaj,34,f
,Nicki Minaj,499,f
,Nicki Minaj,681,f
,Nicki Minaj,682,f
,Polow da Don,673,m
,Polow da Don,684,m
,Polow da Don,685,m
,Polow da Don,686,m
,Polow da Don,687,m
,Ernest Tuo Clark,673,m
,Jonathan Solone-Myvett,673,m
,"Marcos ""Kosine"" Palacios",673,m
,Desmond Child,691,m
,Desmond Child,657,m
,Desmond Child,659,m
,Desmond Child,694,m
,Desmond Child,695,m
,Desmond Child,661,m
,Desmond Child,697,m
,Desmond Child,662,m
,Steven Tyler,691,m
,Stephen Bray,266,m
,Stephen Bray,267,m
,Ahmet Ertegün,702,m
,Chip Taylor,702,m
,Eddie Curtis,702,m
,Steve Miller,702,m
,Rhett Lawrence,706,m
,Rhett Lawrence,506,m
,Travon Potts,706,m
,Richard Marx,709,m
,Richard Marx,710,m
,Richard Marx,711,m
,Richard Marx,712,m
,Richard Marx,713,m
,Richard Marx,714,m
,Richard Marx,715,m
,Richard Marx,716,m
,Benny Blanco,45,m
,Benny Blanco,718,m
,Benny Blanco,9,m
,Benny Blanco,720,m
,Benny Blanco,721,m
,Benny Blanco,722,m
,Benny Blanco,723,m
,Benny Blanco,15,m
,Benny Blanco,725,m
,Benny Blanco,52,m
,Benny Blanco,54,m
,Benny Blanco,728,m
,Benny Blanco,729,m
,Benny Blanco,37,m
,Benny Blanco,731,m
,Benny Blanco,732,m
,Adam Levine,45,m
,Adam Levine,734,m
,Adam Levine,52,m
,Adam Levine,27,m
,Adam Levine,54,m
,Adam Levine,738,m
,Adam Levine,729,m
,Adam Levine,740,m
,Adam Levine,741,m
,Phil Collins,742,m
,Phil Collins,743,m
,Phil Collins,744,m
,Phil Collins,745,m
,Phil Collins,746,m
,Phil Collins,747,m
,Phil Collins,748,m
,Phil Collins,749,m
,Phil Collins,750,m
,Phil Collins,751,m
,Phil Collins,752,m
,Phil Collins,753,m
,Ryan Tedder,286,m
,Ryan Tedder,755,m
,Ryan Tedder,756,m
,Ryan Tedder,757,m
,DJ White Shadow,482,m
,DJ White Shadow,484,m
,DJ White Shadow,490,m
,Nick Monson,482,m
,Nick Monson,762,m
,Tchami,482,m
,Tchami,764,m
,Dino Zisis,482,m
,Lou Handman,766,m
,Roy Turk,766,m
,Billy Vera,768,m
,JKash,769,m
,JKash,502,m
,JKash,740,m
,JKash,732,m
,JKash,773,m
,Charlie Puth,769,m
,Charlie Puth,474,m
,Brock Walsh,776,m
,Mark Goldenberg,776,m
,Harold Faltermeyer,778,m
,Harold Faltermeyer,779,m
,Harold Faltermeyer,780,m
,Amy Grant,781,f
,Amy Grant,782,f
,Keith Thomas,781,m
,Beyonce,100,f
,Beyonce,785,f
,Beyonce,786,f
,Beyonce,787,f
,Beyonce,788,f
,Beyonce,112,f
,Beyonce,113,f
,Beyonce,115,f
,Beyonce,182,f
,Beyonce,757,f
,Beyonce,794,f
,Beyonce,795,f
,Beyonce,796,f
,Beyonce,120,f
,Beyonce,798,f
,Beyonce,799,f
,Beyonce,800,f
,Beyonce,801,f
,Beyonce,187,f
,Beyonce,803,f
,Beyonce,489,f
,Scott Storch,100,m
,Scott Storch,208,m
,Scott Storch,289,m
,Scott Storch,215,m
,Scott Storch,809,m
,Scott Storch,810,m
,Scott Storch,811,m
,Scott Storch,798,m
,Scott Storch,800,m
,Scott Storch,814,m
,Robert Waller,100,m
,Robert Waller,798,m
,Robert Waller,800,m
,Keith Crouch,818,m
,Kipper Jones,818,m
,Rahsaan Patterson,818,m
,Justin Bieber,821,m
,Justin Bieber,6,m
,Justin Bieber,823,m
,Justin Bieber,721,m
,Justin Bieber,825,m
,Justin Bieber,826,m
,Justin Bieber,827,m
,Justin Bieber,725,m
,Justin Bieber,829,m
,Justin Bieber,830,m
,The-Dream,821,m
,The-Dream,832,m
,The-Dream,833,m
,The-Dream,119,m
,The-Dream,799,m
,The-Dream,801,m
,The-Dream,642,m
,The-Dream,125,m
,Ludacris,821,m
,Ludacris,840,m
,Ludacris,685,m
,Ludacris,842,m
,Ludacris,843,m
,Ludacris,844,m
,Ludacris,186,m
,Ludacris,687,m
,Ludacris,151,m
,Ludacris,475,m
,Ludacris,849,m
,Tricky Steward,821,m
,Tricky Steward,851,m
,Tricky Steward,801,m
,Tricky Steward,642,m
,Tricky Steward,125,m
,Tricky Steward,855,m
,Christina Milian,821,f
,Christina Milian,857,f
,Allen Collins,858,m
,Peter Frampton,858,m
,Ronnie Van Zandt,858,m
,R. Kelly,861,m
,R. Kelly,862,m
,R. Kelly,863,m
,R. Kelly,864,m
,R. Kelly,865,m
,R. Kelly,866,m
,R. Kelly,867,m
,R. Kelly,868,m
,R. Kelly,869,m
,R. Kelly,870,m
,R. Kelly,871,m
,R. Kelly,872,m
,R. Kelly,873,m
,R. Kelly,874,m
,R. Kelly,875,m
,R. Kelly,876,m
,Brian McKnight,877,m
,Metro Boomin,878,m
,Metro Boomin,879,m
,Quavo,878,m
,Quavo,826,m
,Offset,878,m
,G Koop,878,m
,Justin Tranter,884,nb
,Justin Tranter,885,nb
,Justin Tranter,762,nb
,Justin Tranter,829,nb
,Halsey,884,nb
,Halsey,165,nb
,Ricky Reed,884,m
,Ricky Reed,502,m
,Ricky Reed,892,m
,Ricky Reed,773,m
,Roget Chahayed,884,m
,Kendrick Lamar,4,m
,Kendrick Lamar,896,m
,Kendrick Lamar,897,m
,Michael Jackson,898,m
,Michael Jackson,899,m
,Michael Jackson,539,m
,Michael Jackson,901,m
,Michael Jackson,902,m
,Michael Jackson,903,m
,Michael Jackson,904,m
,Michael Jackson,353,m
,Michael Jackson,906,m
,Michael Jackson,907,m
,Michael Jackson,560,m
,Michael Jackson,561,m
,Daniel Powter,910,m
,Richie Sambora,657,m
,Richie Sambora,659,m
,Richie Sambora,660,m
,Richie Sambora,661,m
,Richie Sambora,662,m
,John Fogerty,916,m
,Camila Cabello,917,f
,Camila Cabello,918,f
,Alex Schwartz,917,m
,Tony Scalzo,917,m
,Joe Khajadourian,917,m
,Madison Love,917,f
,Machine Gun Kelly,917,m
,Paul Barry,924,m
,Paul Barry,925,m
,Paul Barry,926,m
,Paul Barry,927,m
,Mark Taylor,924,m
,Mark Taylor,925,m
,Mark Taylor,927,m
,Savan Kotecha,5,m
,Savan Kotecha,6,m
,Savan Kotecha,8,m
,Savan Kotecha,10,m
,Savan Kotecha,13,m
,Savan Kotecha,936,m
,Savan Kotecha,937,m
,Savan Kotecha,938,m
,Savan Kotecha,25,m
,Savan Kotecha,27,m
,Savan Kotecha,29,m
,Savan Kotecha,34,m
,Savan Kotecha,943,m
,Rickard Göransson,5,m
,T-Pain,945,m
,T-Pain,833,m
,T-Pain,947,m
,T-Pain,948,m
,T-Pain,949,m
,T-Pain,950,m
,Akon,945,m
,Akon,952,m
,Akon,953,m
,Akon,954,m
,Akon,485,m
,Akon,956,m
,Akon,957,m
,Akon,958,m
,Akon,959,m
,Akon,960,m
,Enrique Iglesias,925,m
,Enrique Iglesias,927,m
,Enrique Iglesias,494,m
,Enrique Iglesias,475,m
,Bryan-Michael Cox,965,m
,Bryan-Michael Cox,606,m
,Bryan-Michael Cox,607,m
,Bryan-Michael Cox,609,m
,Bryan-Michael Cox,618,m
,Bryan-Michael Cox,620,m
,Bryan-Michael Cox,461,m
,Jason Perry,965,m
,Jason Perry,684,m
,Mary J. Blige,965,f
,Mary J. Blige,975,f
,Johntá Austin,965,m
,Johntá Austin,609,m
,Johntá Austin,614,m
,Johntá Austin,979,m
,Johntá Austin,618,m
,Johntá Austin,621,m
,Johntá Austin,982,m
,Linda Perry,983,f
,Linda Perry,984,f
,Jerry Leiber,985,m
,Jerry Leiber,986,m
,Jerry Leiber,987,m
,Jerry Leiber,988,m
,Mike Stoller,985,m
,Mike Stoller,986,m
,Mike Stoller,987,m
,Mike Stoller,988,m
,Sean Kingston,985,m
,Sean Kingston,493,m
,Sean Kingston,995,m
,Sean Kingston,996,m
,J.R. Rotem,985,m
,J.R. Rotem,998,m
,J.R. Rotem,995,m
,J.R. Rotem,1000,m
,J.R. Rotem,996,m
,Ben E. King,985,m
,Sly Jordan,985,m
,Mikkel Eriksen,785,m
,Mikkel Eriksen,1005,m
,Mikkel Eriksen,1006,m
,Mikkel Eriksen,718,m
,Mikkel Eriksen,722,m
,Mikkel Eriksen,902,m
,Mikkel Eriksen,1010,m
,Mikkel Eriksen,795,m
,Mikkel Eriksen,1012,m
,Mikkel Eriksen,525,m
,Mikkel Eriksen,728,m
,Mikkel Eriksen,1015,m
,Mikkel Eriksen,1016,m
,Mikkel Eriksen,1017,m
,Mikkel Eriksen,1018,m
,Mikkel Eriksen,982,m
,Tor Hermansen,785,m
,Tor Hermansen,1005,m
,Tor Hermansen,1006,m
,Tor Hermansen,718,m
,Tor Hermansen,722,m
,Tor Hermansen,902,m
,Tor Hermansen,1010,m
,Tor Hermansen,795,m
,Tor Hermansen,1012,m
,Tor Hermansen,525,m
,Tor Hermansen,728,m
,Tor Hermansen,1015,m
,Tor Hermansen,1016,m
,Tor Hermansen,1017,m
,Tor Hermansen,1018,m
,Tor Hermansen,982,m
,Amanda Ghost,785,f
,Amanda Ghost,1037,f
,Ian Dench,785,m
,Zedd,6,m
,Zedd,8,m
,Warren Allen Brooks,1041,m
,Anders Bagge,1042,m
,Anders Bagge,1043,m
,Anders Bagge,1044,m
,Arnthor Birgisson,1042,m
,Arnthor Birgisson,1044,m
,Bloodshy,1042,m
,Patrick Tucker,1042,pm
,Ne-Yo,1005,m
,Ne-Yo,1050,m
,Ne-Yo,795,m
,Ne-Yo,146,m
,Ne-Yo,811,m
,Ne-Yo,1015,m
,Ne-Yo,1016,m
,Diane Warren,1056,f
,Diane Warren,1057,f
,Diane Warren,1058,f
,Diane Warren,1059,f
,Diane Warren,1060,f
,Diane Warren,694,f
,Diane Warren,1062,f
,Diane Warren,1063,f
,Diane Warren,1064,f
,Diane Warren,1065,f
,Diane Warren,1066,f
,Diane Warren,1067,f
,Diane Warren,1068,f
,Diane Warren,1069,f
,Diane Warren,1070,f
,Diane Warren,1071,f
,Diane Warren,1072,f
,Diane Warren,1073,f
,Diane Warren,1074,f
,Diane Warren,1075,f
,Diane Warren,1076,f
,Los Da Mystro,832,m
,Lil Wayne,219,m
,Lil Wayne,1079,m
,Lil Wayne,1080,m
,Lil Wayne,182,m
,Lil Wayne,1082,m
,Lil Wayne,826,m
,Lil Wayne,1084,m
,Lil Wayne,1085,m
,Lil Wayne,1086,m
,Lil Wayne,187,m
,Lil Wayne,124,m
,Drake,219,m
,Drake,1079,m
,Drake,142,m
,Drake,1092,m
,Drake,1093,m
,Drake,1094,m
,Drake,1095,m
,Drake,1086,m
,Drake,1018,m
,Drake,1098,m
,Static Major,219,m
,Static Major,684,m
,Static Major,788,m
,Static Major,181,m
,Static Major,182,m
,Static Major,1085,m
,Static Major,686,m
,Static Major,120,m
,Static Major,814,m
