title_id,peak_position,song_key,year,since 2000,cut_two,songwriter_gender,song writer count,count of women,cut,has no women,has no men,artist_gender
new_181,5,staying alive by dj khaled featuring drake & lil baby,2022,1,only men,"['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",8,0,no women,only men,1 or more men,m
new_172,3,n95 by kendrick lamar,2022,1,only men,"['m', 'm', 'm', 'm', 'm', 'm']",6,0,no women,only men,1 or more men,m
new_159,5,enemy by imagine dragons x jid,2022,1,only men,"['m', 'm', 'm', 'm', 'm', 'nb', 'm', 'm']",8,0,no women,only men,1 or more men,m
new_178,1,jimmy cooks by drake featuring 21 savage,2022,1,only men,"['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",10,0,no women,only men,1 or more men,m
new_131,5,ghost by justin bieber,2022,1,only men,"['m', 'm', 'm', 'm', 'm']",5,0,no women,only men,1 or more men,m
new_192,3,major distribution by drake & 21 savage,2022,1,only men,"['m', 'm', 'm', 'm', 'm']",5,0,no women,only men,1 or more men,m
new_171,5,you proof by morgan wallen,2022,1,only men,"['m', 'm', 'm', 'm']",4,0,no women,only men,1 or more men,m
new_169,4,moscow mule by bad bunny,2022,1,only men,"['m', 'm', 'm', 'm', 'm', 'm']",6,0,no women,only men,1 or more men,m
new_156,3,super gremlin by kodak black,2022,1,only men,"['m', 'm', 'm']",3,0,no women,only men,1 or more men,m
new_164,1,as it was by harry styles,2022,1,only men,"['m', 'm', 'm']",3,0,no women,only men,1 or more men,m
new_175,4,sunroof by nicky youre & dazy,2022,1,only men,"['m', 'm', 'm']",3,0,no women,only men,1 or more men,m 
new_191,4,on bs by drake & 21 savage,2022,1,only men,"['m', 'm', 'm', 'm', 'm']",5,0,no women,only men,1 or more men,m
new_170,5,titi me pregunto by bad bunny,2022,1,only men,"['m', 'm', 'm', 'm']",4,0,no women,only men,1 or more men,m
new_174,3,late night talking by harry styles,2022,1,only men,"['m', 'm']",2,0,no women,only men,1 or more men,m
new_167,4,puffin on zootiez by future,2022,1,only men,"['m', 'm', 'm', 'm']",4,0,no women,only men,1 or more men,m
new_184,4,california breeze by lil baby,2022,1,only men,"['m', 'm', 'm']",3,0,no women,only men,1 or more men,m
new_004,4,last christmas by wham!,2022,1,only men,['m'],1,0,no women,only men,1 or more men,m
new_122,1,heat waves by glass animals,2022,1,only men,['m'],1,0,no women,only men,1 or more men,m
new_162,1,"we don't talk about bruno by carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast",2022,1,only men,['m'],1,0,no women,only men,1 or more men,m;f
new_183,1,unholy by sam smith & kim petras,2022,1,only men,['m'],1,0,no women,only men,1 or more men,f;nb
new_176,3,running up that hill (a deal with god) by kate bush,2022,1,only women,['f'],1,1,only women,1 or more women in credits,only women,f
new_177,3,i like you (a happier song) by post malone featuring doja cat,2022,1,"mixed, majority men","['f', 'm', 'm', 'm', 'm']",5,1,at least 1 woman,1 or more women in credits,1 or more men,m;f
new_185,5,midnight rain by taylor swift,2022,1,parity,"['m', 'f']",2,1,at least 1 woman,1 or more women in credits,1 or more men,f
new_187,3,maroon by taylor swift,2022,1,parity,"['m', 'f']",2,1,at least 1 woman,1 or more women in credits,1 or more men,f
new_188,1,anti-hero by taylor swift,2022,1,parity,"['m', 'f']",2,1,at least 1 woman,1 or more women in credits,1 or more men,f
new_179,1,break my soul by beyonce,2022,1,"mixed, majority men","['m', 'm', 'f', 'm', 'm', 'nb', 'm', 'm']",8,1,at least 1 woman,1 or more women in credits,1 or more men,f
new_163,2,do we have a problem? by nicki minaj x lil baby,2022,1,"mixed, majority men","['m', 'm', 'f', 'm']",4,1,at least 1 woman,1 or more women in credits,1 or more men,m;f
new_196,3,kill bill by sza,2022,1,"mixed, majority men","['m', 'm', 'f']",3,1,at least 1 woman,1 or more women in credits,1 or more men,f
new_166,1,about damn time by lizzo,2022,1,"mixed, majority men","['m', 'm', 'm', 'f', 'm', 'm', 'm']",7,1,at least 1 woman,1 or more women in credits,1 or more men,f
new_173,5,"die hard by kendrick lamar, blxst & amanda reifer",2022,1,"mixed, majority men","['m', 'm', 'm', 'm', 'f', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",14,1,at least 1 woman,1 or more women in credits,1 or more men,m;f
new_168,1,wait for u by future featuring drake & tems,2022,1,"mixed, majority men","['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'f']",11,1,at least 1 woman,1 or more women in credits,1 or more men,m;f
new_165,1,first class by jack harlow,2022,1,"mixed, majority men","['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'f', 'm']",13,1,at least 1 woman,1 or more women in credits,1 or more men,m
new_194,5,spin bout u by drake & 21 savage,2022,1,"mixed, majority men","['m', 'm', 'm', 'm', 'm', 'f']",6,1,at least 1 woman,1 or more women in credits,1 or more men,m
new_180,1,bad habit by steve lacy,2022,1,"mixed, majority men","['f', 'f', 'm', 'm', 'm']",5,2,at least 1 woman,1 or more women in credits,1 or more men,m
new_189,4,snow on the beach by taylor swift featuring lana del rey,2022,1,"mixed, majority women","['f', 'm', 'f']",3,2,at least 1 woman,1 or more women in credits,1 or more men,f
new_161,3,abcdefu by gayle,2022,1,"mixed, majority women","['m', 'f', 'f']",3,2,at least 1 woman,1 or more women in credits,1 or more men,f
new_190,2,lift me up by rihanna,2022,1,parity,"['m', 'f', 'm', 'f']",4,2,at least 1 woman,1 or more women in credits,1 or more men,f
new_195,5,"creepin' by metro boomin, the weeknd & 21 savage",2022,1,"mixed, majority men","['m', 'f', 'm', 'm', 'm', 'm', 'm', 'f']",8,2,at least 1 woman,1 or more women in credits,1 or more men,m
new_182,1,super freaky girl by nicki minaj,2022,1,"mixed, majority men","['m', 'm', 'f', 'm', 'm', 'f', 'm', 'm']",8,2,at least 1 woman,1 or more women in credits,1 or more men,f
new_186,2,lavender haze by taylor swift,2022,1,"mixed, majority men","['m', 'm', 'm', 'm', 'f', 'f']",6,2,at least 1 woman,1 or more women in credits,1 or more men,f
new_193,2,rich flex by drake & 21 savage,2022,1,"mixed, majority men","['m', 'm', 'm', 'm', 'm', 'm', 'm', 'f', 'm', 'm', 'm', 'f', 'm', 'm']",14,2,at least 1 woman,1 or more women in credits,1 or more men,m
new_155,3,big energy by latto,2022,1,"mixed, majority men","['m', 'f', 'f', 'm', 'm', 'm', 'm', 'm', 'm', 'f', 'm']",11,3,at least 1 woman,1 or more women in credits,1 or more men,f
new_137,5,amari by j. cole,2021,1,only men,"['m', '?', 'm', 'm']",4,0,no women,only men,1 or more men,m
new_153,1,my universe by coldplay x bts,2021,1,only men,"['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",10,0,no women,only men,1 or more men,m
new_144,1,stay by the kid laroi & justin bieber,2021,1,only men,"['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",9,0,no women,only men,1 or more men,m
new_145,1,industry baby by lil nas x & jack harlow,2021,1,only men,"['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",9,0,no women,only men,1 or more men,m
new_147,4,champagne poetry by drake,2021,1,only men,"['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",9,0,no women,only men,1 or more men,m
new_149,4,knife talk by drake featuring 21 savage & project pat,2021,1,only men,"['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",9,0,no women,only men,1 or more men,m
new_121,1,save your tears by the weeknd & ariana grande,2021,1,only men,"['m', 'm', 'm', 'm', 'm', 'm']",6,0,no women,only men,1 or more men,m;f
new_127,2,wants and needs by drake featuring lil baby,2021,1,only men,"['m', 'm', 'm', 'm', 'm', 'm']",6,0,no women,only men,1 or more men,m
new_136,2,"my.life by j. cole, 21 savage & morray",2021,1,only men,"['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",8,0,no women,only men,1 or more men,m
new_128,1,leave the door open by silk sonic (bruno mars & anderson .paak),2021,1,only men,"['m', 'm', 'm', 'm', 'm']",5,0,no women,only men,1 or more men,m
new_132,1,montero (call me by your name) by lil nas x,2021,1,only men,"['m', 'm', 'm', 'm', 'm']",5,0,no women,only men,1 or more men,m
new_134,1,rapstar by polo g,2021,1,only men,"['m', 'm', 'm', 'm', 'm']",5,0,no women,only men,1 or more men,m
new_148,1,way 2 sexy by drake featuring future & young thug,2021,1,only men,"['m', 'm', 'm', 'm', 'm', 'm', 'm', 'm']",8,0,no women,only men,1 or more men,m
new_141,3,fancy like by walker hayes,2021,1,only men,"['m', 'm', 'm', 'm']",4,0,no women,only men,1 or more men,m
new_151,2,girls want girls by drake featuring lil baby,2021,1,only men,"['m', 'm', 'm', 'm']",4,0,no women,only men,1 or more men,m
new_126,1,what's next by drake,2021,1,only men,"['m', 'm', 'm']",3,0,no women,only men,1 or more men,m
new_142,2,bad habits by ed sheeran,2021,1,only men,"['m', 'm', 'm']",3,0,no women,only men,1 or more men,m
new_157,5,smokin out the window by silk sonic (bruno mars & anderson .paak),2021,1,only men,"['m', 'm', 'm']",3,0,no women,only men,1 or more men,m
new_005,5,it's the most wonderful time of the year by andy williams,2021,1,only men,"['m', 'm']",2,0,no women,only men,1 or more men,m
new_125,3,calling my phone by lil tjay featuring 6lack,2021,1,only men,"['m', 'm', '?', 'm', 'm', 'm']",6,0,no women,only men,1 or more men,m
