title,artist_name,writer,gender,year,writer_is_artist,artist_gender,title_artist_name,Songwriter is Artist
Two Of Hearts,Stacey Q,John Mitchell,?,1986,,f,Two Of Hearts by Stacey Q,
Love Don't Cost A Thing,Jennifer Lopez,Jeremy Monroe,?,2001,,f,Love Don't Cost A Thing by Jennifer Lopez,
Michael,The Highwaymen,Unknown,?,1961,,m,Michael by The Highwaymen,
Bread And Butter,The Newbeats,Larry Parks,?,1964,,m,Bread And Butter by The Newbeats,
Hey Little Cobra,The Rip Chords,Marshall H. Connors,?,1964,,m,Hey Little Cobra by The Rip Chords,
Black Is Black,Los Bravos,Steve Wadey,?,1966,,m,Black Is Black by Los Bravos,
"1, 2, 3, Red Light",1910 Fruitgum Co.,Bobbi Trimachi,?,1968,,m,"1, 2, 3, Red Light by 1910 Fruitgum Co.",
Can I Change My Mind,Tyrone Davis,Carl Wolfolk,?,1969,,m,Can I Change My Mind by Tyrone Davis,
Dancing Machine,Jackson 5,Donald Fletcher,?,1974,,m,Dancing Machine by Jackson 5,
Body Bumpin' Yippie-Yi-Yo,Public Announcement,Monica Gray,?,1998,,m,Body Bumpin' Yippie-Yi-Yo by Public Announcement,
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","\DJ\"" Khaled Mohamed Khaled""",m,2017,,m,"I'm The One by DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,"\DJ\"" Khaled Mohamed Khaled""",m,2017,,m;f,Wild Thoughts by DJ Khaled Featuring Rihanna & Bryson Tiller,
Cold Water,Major Lazer Featuring Justin Bieber & MO,"\King\"" Henry Allen""",m,2016,,m;f,Cold Water by Major Lazer Featuring Justin Bieber & MO,
Good For You,Selena Gomez Featuring A$AP Rocky,"\Sir\"" Nolan Lambroza""",m,2015,,m;f,Good For You by Selena Gomez Featuring A$AP Rocky,
Rockstar,DaBaby Featuring Roddy Ricch,21 Savage,m,2020,,m,Rockstar by DaBaby Featuring Roddy Ricch,
Mood,24kGoldn Featuring iann dior,24kGoldn,m,2020,,m,Mood by 24kGoldn Featuring iann dior,1
The Box,Roddy Ricch,30 Roc,m,2020,,m,The Box by Roddy Ricch,
Nice For What,Drake,5th Ward Weebie,m,2018,,m,Nice For What by Drake,
Baby (You've Got What It Takes),Dinah Washington & Brook Benton,Murray Stein,?,1960,,m;f,Baby (You've Got What It Takes) by Dinah Washington & Brook Benton,
Love Shack,The B-52s,The B-52's,?,1989,,m;f,Love Shack by The B-52s,
Roam,The B-52s,The B-52's,?,1990,,m;f,Roam by The B-52s,
Sunshine,Lil' Flip Featuring Lea,Carlos Hassan,?,2004,,m;f,Sunshine by Lil' Flip Featuring Lea,
I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,L. Down,?,2004,,m;f,I Don't Wanna Know by Mario Winans Featuring Enya & P. Diddy,
Sunshine,Lil' Flip Featuring Lea,L. Quezada,?,2004,,m;f,Sunshine by Lil' Flip Featuring Lea,
Trollz,6ix9ine & Nicki Minaj,6ix9ine,m,2020,,m;f,Trollz by 6ix9ine & Nicki Minaj,1
Rich Flex,Drake & 21 Savage,A. Davis,m,2022,,m,Rich Flex by Drake & 21 Savage,
My Happiness,Connie Francis,Betty Peterson,f,1959,,f,My Happiness by Connie Francis,0
Lipstick On Your Collar,Connie Francis,Edna Lewis,f,1959,,f,Lipstick On Your Collar by Connie Francis,0
Pink Shoe Laces,Dodie Stevens,Mickie Grant,f,1959,,f,Pink Shoe Laces by Dodie Stevens,0
He'll Have To Stay,Jeanne Black,Audrey Allison,f,1960,,f,He'll Have To Stay by Jeanne Black,0
Sixteen Reasons,Connie Stevens,Doree Post,f,1960,,f,Sixteen Reasons by Connie Stevens,0
Sailor (Your Home Is The Sea),Lolita,Fini Busch,f,1960,,f,Sailor (Your Home Is The Sea) by Lolita,0
Paper Roses,Anita Bryant,Janice Torre,f,1960,,f,Paper Roses by Anita Bryant,0
Will You Love Me Tomorrow,The Shirelles,Carole King,f,1961,,f,Will You Love Me Tomorrow by The Shirelles,0
Dum Dum,Brenda Lee,Jackie DeShannon,f,1961,,f,Dum Dum by Brenda Lee,0
Fool #1,Brenda Lee,Kathryn R. Fulton,f,1961,,f,Fool #1 by Brenda Lee,0
Dum Dum,Brenda Lee,Sharon Sheeley,f,1961,,f,Dum Dum by Brenda Lee,0
The Loco-Motion,Little Eva,Carole King,f,1962,,f,The Loco-Motion by Little Eva,0
Break It To Me Gently,Brenda Lee,Diane Lampert,f,1962,,f,Break It To Me Gently by Brenda Lee,0
Soldier Boy,The Shirelles,Florence Greenberg,f,1962,,f,Soldier Boy by The Shirelles,0
I Know (You Don't Love Me No More),Barbara George,Barbara George,f,1962,,f,I Know (You Don't Love Me No More) by Barbara George,1
Party Lights,Claudine Clark,Claudine Clark,f,1962,,f,Party Lights by Claudine Clark,1
Judy's Turn To Cry,Lesley Gore,Beverly Ross,f,1963,,f,Judy's Turn To Cry by Lesley Gore,0
One Fine Day,The Chiffons,Carole King,f,1963,,f,One Fine Day by The Chiffons,0
Judy's Turn To Cry,Lesley Gore,Edna Lewis,f,1963,,f,Judy's Turn To Cry by Lesley Gore,0
Be My Baby,The Ronettes,Ellie Greenwich,f,1963,,f,Be My Baby by The Ronettes,0
Da Doo Ron Ron (When He Walked Me Home),The Crystals,Ellie Greenwich,f,1963,,f,Da Doo Ron Ron (When He Walked Me Home) by The Crystals,0
Foolish Little Girl,The Shirelles,Helen Miller,f,1963,,f,Foolish Little Girl by The Shirelles,0
"Sally, Go 'round The Roses",The Jaynetts,Lona Stevens,f,1963,,f,"Sally, Go 'round The Roses by The Jaynetts",0
The End Of The World,Skeeter Davis,Sylvia Dee,f,1963,,f,The End Of The World by Skeeter Davis,0
"Sally, Go 'round The Roses",The Jaynetts,Zelma Sanders,f,1963,,f,"Sally, Go 'round The Roses by The Jaynetts",0
Hello Stranger,Barbara Lewis,Barbara Lewis,f,1963,,f,Hello Stranger by Barbara Lewis,1
Dominique,The Singing Nun (Soeur Sourire),Jeanine Deckers,f,1963,,f,Dominique by The Singing Nun (Soeur Sourire),1
Chapel Of Love,The Dixie Cups,Ellie Greenwich,f,1964,,f,Chapel Of Love by The Dixie Cups,0
Leader Of The Pack,The Shangri-Las,Ellie Greenwich,f,1964,,f,Leader Of The Pack by The Shangri-Las,0
We'll Sing In The Sunshine,Gale Garnett,Gale Garnett,f,1964,,f,We'll Sing In The Sunshine by Gale Garnett,1
The Name Game,Shirley Ellis,Shirley Elliston,f,1965,,f,The Name Game by Shirley Ellis,0
"Yes, I'm Ready",Barbara Mason,Barbara Mason,f,1965,,f,"Yes, I'm Ready by Barbara Mason",1
You Don't Have To Say You Love Me,Dusty Springfield,Vicki Wickham,f,1966,,f,You Don't Have To Say You Love Me by Dusty Springfield,0
Don't Sleep In The Subway,Petula Clark,Jackie Trent,f,1967,,f,Don't Sleep In The Subway by Petula Clark,0
Ode To Billie Joe,Bobbie Gentry,Bobbie Gentry,f,1967,,f,Ode To Billie Joe by Bobbie Gentry,1
(Theme From) Valley Of The Dolls,Dionne Warwick,Dory Previn,f,1968,,f,(Theme From) Valley Of The Dolls by Dionne Warwick,0
Love Child,Diana Ross & The Supremes,Pam Sawyer,f,1968,,f,Love Child by Diana Ross & The Supremes,0
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,Aretha Franklin,f,1968,,f,(Sweet Sweet Baby) Since You've Been Gone by Aretha Franklin,1
